zulu,english
abacebile,The rich
abafanelekile,They are not eligible
abafuna,prospective
abagulayo,illness
abaholayo,those who take the lead
abaningi,many
abantu,people
abanye,others
abaphathi,Managers
abaphilayo,the living
abasengozini,vulnerable
abasha,youth
abathintekayo,affected
akulungile,wrong
akunakwenzeka,impossible
ama-antibiotic,Antibiotics
amafutha,fat
amagilebhisi,grapes
amakha,fragrance
amaminerali,minerals
amandla,strength
amanga,lie
amanzi,water
amaphekula,terrorist
amaphoyisa,police
amathumbu,intestine
amaxolo,bones?
amazinyo,teeth
andisa,multiply
anele,enough
angivumelani,I disagree
asabele,webade
athule,silent
avele,appear
ayinalutho,It is empty
bamba,catch
bese,then
best,best
bhaka,bake
bhala,write
bhalisa,enroll
bhangqa,pair
bheka,look
bhubhisa,annihilate
bhukuda,bathe
boleka,borrow
bona,perceive
buka,contemplate
bulala,kill
bushelelezi,smooth
buthaka,weak
buyekeza,revise
buyela,enclose
buyisela,return
buza,ask
cabangela,speculate
cacile,capile
cha,no
chaza,explain
chitha,spend
cishe,nearly
cleavage,Cleavage
dala,cause
deal,deal
dla,enjoy
dlala,play
dlulisa,transfer
Donsa,Haul
dumisa,worship
ebambe,capture
ebonakalayo,visible
ebucayi,sensitivity
ebukhali,sharp
ebusuku,night
ecasulayo,irritating
edlule,past
edumile,famous
eduze,close
efanayo,similar
efanele,relevant
efudumele,warm
egcwele,full
ehamba,travel
ehamba phambili,best
ehlakaniphile,wise
ekahle,ideal
ekhathazekile,distressed
ekhaya,home
ekhethekile,specialty
ekolishi,college
ekuseni,morning
elambile,hungry
eliphezulu,high
emadolobheni,In the cities
emangalisayo,amazing
emaphandleni,rural areas
emhlabathini,ground
emincane,minor
emuva,back
enamahloni,rocky
enamandla,strong
encane,small
encomekayo,commendable
endala,old
enengqondo,reasonable
enephutha,faulty
engabonakali,invisible
engacacile,unclear
engaphelele,imperfect
engcolile,dirty
engekho,no
engeza,add
enhle,beautiful
enjalo,such
enkulu,major
enodlame,violent
ephelele,perfect
ephukile,broken
eqinile,steady
esabekayo,horrid
esetshenzisiwe,used
esibhedlela,hospital
eside,long
esiphezulu,senior
esitolo,to the store
esizayo,not future
ethambile,soft
ethembekile,reliable
etholakalayo,available
ethukile,shock
ethukuthele,emerring
ethula,introduce
evamile,general
evelele,outstanding
evumelana nezimo,Flexible
eyakhelwe,built
eyamukelekayo,acceptable
eyengeziwe,additional
eyokuqala,first
ezahlukene,different
ezanele,adequate
ezemidlalo,Sports
ezezimali,finance
ezidliwayo,what they are eaten
ezifanayo,similar
ezifanele,relevant
ezihlekisayo,comedical
ezihlobene,Related
ezihlukahlukene,a variety of
ezihuquzelayo,irritate
ezimele,independent
ezingokoqobo,reality
eziphilayo,Organics
ezishibhile,Cheap
ezithandekayo,lovely
ezithile,certain
ezithobekile,humble
eziyingozi,dangerous
ezobuchwepheshe,technical
ezokuthutha,Transport
ezokuvakasha,tourism
ezokwelapha,Medical Medical
ezolile,calm
ezolimo,agriculture
ezombusazwe,politicism
ezomnotho,economic
ezondiza,it will fly
ezothando,romantic
fa,die
fair,Fair
Faka isicelo,Claim
fakazela,vindicate
fihla,conceal
fika,arrive
finyelela,arrive
finyeza,abbreviate
fisa,wish
funa,require
funda,read
fundisa,preach
futhi,beside
gcina,retain
gibela,climb
gijima,run
global,global
goba,tame
gqoka,wear
gqugquzela,mobilize
gubha,celebrate
guqula,change
gwema,avoid
gxila,concentrate
gxuma,jump
hamba,walk
hamba ngomkhumbi,sail
hhayi,not
hlaba umxhwele,impress
hlala,abide
hlangana,encounter
hlanganisa,compile
hlanya,passure
hlanza,clean
hlehla,reverse
hlehlisa,rewind
hleka,laugh
hlela,arrange
hlinzeka,provide
hlola,survey
hlukana,part
i-angle,angle
i-chloroform,chloroform
i-paddy,paddy
ibhandishi,bandage
ibhanga,bank
ibhola,ball
ibhubesi,lion
icala,blame
icocekile,tidy
idamu,dam
idiphozi,deposit
idolobha,city
ifa,inheritance
ifektri,factory
ifu,cloud
igagasi,wave
igama,name
igaraji,garage
igazi,blood
igilosa,grocery
igumbi,room
igunya,responsibility
igwababa,crow
ihhashi,horse
ihhovisi,office
ihlanzekile,clean
ihlathi,forest
ihlobo,summer
iholidi,holiday
iholo,pay
ihostela,hostel
ijaji,judge
ijinja,ginger
ijuba,dove
ikakhulukazi,mainly
ikamela,camel
ikhanda,head
ikhandidethi,protector
ikhomishini,commission
ikhona,corner
ikhono,skill
ikhukhamba,cucumber
ikhulu,hundred
ikhulu leminyaka,century
iklabishi,cabbage
ikotishi,cottage
ilahlekile,lost
ilanga,sun
ilukuluku,enthusiasm
ilungelo,privilege
Ima,Stop
imakethe,market
imali,money
imali engenayo,net worth
imanuwali,dianuary
imbali,flower
imbewu,seed
imbongolo,donkey
imboni,industry
imbulunga,globe
imbuzi,goat
imfihlakalo,mystery
imfihlo,secret
imfiva,fever
imfucuza,fever
imfundo,education
imibuzo,Questions
imifino,vegetable
imikhumbi,shaft
imininingwane,data
iminyaka yobudala,age
imishini,equipment
imithwalo,luggage
imoto,car
impahla,property
impandla,balc
impela,altogether
impendulo,response
impesheni,pension
impi,war
impilo,health
impinda,repetition
impoqo,force
impumelelo,success
imvelo,nature
imvilophu,envelope
imvula,rain
imvume,consent
imvunulo,dress
inala,abundance
inani labantu,population
incazelo,meaning
inceku,steward
incwadi,book
indaba,chronicle
indawo,area
indawo yokuhlala,accommodation
indawo yonke,universe
indlebe,ear
indlela,direction
indlovu,elephant
indlu,house
indlu yangasese,toilet
indoda,man
indodakazi,daughter
induduzo,comfort
indwangu,cloth
inethiwekhi,network
ingadi,garden
ingane,child
ingcebo,wealth
ingcindezi,pressure
ingobo yomlando,archive
ingozi,risk
ingqikithi,volume
ingubo,dress
ingwe,leopard
ingwenya,crocodile
ingxenye,part
ingxoxo,conversation
inhlabathi,soil
inhlalakahle,health
inhlangano,organization
inhlanhla,fortune
inhlanzeko,cleanliness
inhlawulo,compensation
inhliziyo,heart
inhlonipho,manners
inhloso,aim
ini,what are you
iningi,majority
injabulo,happiness
inkambo,career
inkambu,field
inkampani,company
inkathazo,trouble
inkawu,monkey
inketho,option
inkinga,problem
inkohlakalo,corruption
inkohliso,deceit
inkokhelo,wages
inkolo,cult
inkosana,heir
inkululeko,freedom
inkulumo,address
inombolo,number
inqola,coach
inqubekelaphambili,progress
inqubo,procedure
inselele,The Challenge
insimbi,steel
insiza,service
intaba,mountain
intambo,string
intamo,neck
intando,will
intando yeningi,the majority
intandokazi,favorite
intela,tax
intengo,price
interview,interview
into,thing
intombazane,girl
intombi,girl
intshe,ostrich
intukuthelo,anger
intuthwane,ant
inxusa,ambassador
inyanga,month
inyoka,snake
inyoni,fowl
inyuvesi,university
inzondo,animosity
inzuzo,profit
ipaki,park
iphaphu,lung
iphaseji,parasite
iphasela,parcel
iphunga,fragrance
iphutha,mistake
ipikiniki,picnic
iplanethi,planet
ipulazi,farm
iqanda,egg
iqembu,group
iqiniso,truth
ireferensi,reference
irekhodi,record
iresiphi,recipe
isabelo,share
isabelomali,budget
isahluko,chapter
isakhiwo,structure
isamba,sum
isambulela,umbrella
isampula,sample
isaqathe,carrot
isayensi,science
isayensi yezinkanyezi,astronomy
iseluleko,advice
isenzo,verb
isesekeli,accessory
isethulo,contribution
isevisi,service
ishawa,shower
ishumi leminyaka,decade
isibankwa,lizard
isibindi,courage
isibonelelo,allowance
isibonelo,illustration
isibonisi,indication
isibungu,maggot
isicelo,application
isichazamazwi,dictionary
isici,fault
isidingo,necessity
isidlo sakusihlwa,dinner
isidlo sasemini,lunch
isidoda,sperm
isifebe,whore
isifinyezo,abbreviation
isifiso,longing
isifo,disease
isifuba,chest
isigameko,hamper
isigebengu,bandit
isigodi,valley
isiguli,patient
isihambi,stranger
isihlabathi,sand
isihlahla,tree
isihlangu,shield
isihloko,topic
isijeziso,penalty
isikhala,space
isikhalazo,complaint
isikhangiso,ad
isikhathi,time
isikhukhukazi,hen
isikhumba,skin
isikhumbuzo,memorial
isikhundla,position
isikhungo,institute
isikole,school
isikrini,screen
isilinganiso,measure
isilwane,animal
isimangaliso,wonder
isimo sengqondo,Attitude
isimo sezulu,weather
isinambuzane,insect
isingeniso,Introduction
isinqumo,verdict
isiphetho,conclusion
isiphithiphithi,confusion
isipho,gift
isipiliyoni,experience
isipoki,ghost
isiqephu,piece
isiqiniseko,pledge
isisebenzi,servant
isisekelo,basis
isisho,saying
isisindo,weight
isisu,pregnancy
isitatimende,statement
isitha,enemy
isitho,organ
isithombo sebhitrudi,beet
isitifiketi,certificate
isitsha,utensil
isitshalo,plant
isivakashi,tourist
isivikelo,armor
isivinini,speed
isivumelwano,agreement
isivuno,crop
isiwula,fool
isixuku,group
isixwayiso,alert
isiyalo,discipline
isizini,season
isizukulwane,generation
iso,eye
isonto,church
isu,strategy
ithalente,talent
ithambo,bone
ithempeli,temple
ithende,tent
ithonya,influence
ithuba,opportunity
ithuluzi,tool
itshe,stone
ivikelekile,secure
ivithamini,Vitamin
iwayini,wine
ixoxo,frog
iyagcinwa,is kept
izambane,potato
izethameli,audience
izilwane ezincelisayo,mammals
izilwane zasendle,wild animals
izimo eziphuthumayo,Emergency Conditions
izindleko,cost
izinga,degree
izinga lokushisa,temperature
izingane,Children
izinhlamvu zamagama,alphabet
izinhlanzi,fish
izinhlayiyana,particles
izinkomo,cattle
izithelo,fruit
izithombe,images
izitsha zobumba,pottery
izolo,yesterday
izwe,territory
izwi,voice
jikelele,general
kabi,extremely
kabili,twice
kahle,well
kakade,already
kakhulu,too
kancane,slightly
kangcono,better
kanye,once
khala,cry
khansela,cancel
khawula,limit
khetha,select
khiqiza,manufacture
khohlisa,fake
khombisa,demonstrate
khula,grow
khulula,liberate
khuluma,speak
khumbula,remember
khumbuza,remind
khuphuka,rise
kokubili,both
konke,all
ku,in
kubalulekile,important
kubi,worse
kufanele,should
kufanelekile,appropriate
kufihliwe,Hidden
kuhle,good
kuhle kakhulu,It's so good
kulingana,equal
kulula,easy
kulungile,okay
kumnandi,fun
kungenzeka,possibly
kuphela,only
kusasa,tomorrow
kusenesikhathi,early
kusha,New
kushisa,hot
kusihlwa,evening
kuyabiza,It is expensive
kuyadliwa,eaten
kuyafaneleka,it is worth it
kuyancomeka,It is commendable
kuyaphuthuma,It is urgent
kuyingozi,it is dangerous
kuze kube phakade,forever
kwamukelwe,received
kwesokudla,right
kwesokunxele,left
ladle,faded
lakho,your
lala,sleep
landisa,recite
lapha,here
lapho,there
lesifunda,region
letha,bring
lezi,these
linda,guard
lindela,anticipate
linganisa,compare
linganisela,Be reasonable
lokho,that
lokhu,this
luhlaza,green
lusizi,grief
lutho,anything
lwesinaphi,mustard
maduze,soon
mahhala,free
mamatheka,smile
mandulo,formerly
manje,now
manzi,feeble
maphakathi,middle
masonto onke,every week
mbumbulu,imperfire
memezela,proclaim
mhlophe,whitle
mina,me
minyaka yonke,annually
misa okwesikhashana,Pause temporarily
mncane,thin
mnyama,black
mpo,vertical
mpofu,poor
msulwa,pure
mude,tall
muhle,beautiful
namathisela,attach
namuhla,today
naphezu,despite
naughty,naughty
ncibilika,thaw
nciphisa,decrease
ncoma,proclaim
ndawonye,together
ndiza,fly
nenhle,elegant
nesibindi,fearless
neze,never
ngakho,therefore
ngamazwe ngamazwe,In international
ngamunye,each
nganaki,ignore
ngani,why
ngaphakathi,inwards
ngaphambili,front
ngaphandle,exterior
ngaphansi,below
ngcono,improved
ngempumelelo,effectively
ngemuva,after
ngemva,behind
ngemva kwalokho,after that
ngenhla,above
ngezansi,down
ngifuna ukwazi,I want to know
ngingekho,I'm not
ngiya,I am going
ngiyabonga,thank you
Ngiyacela,Please
ngoba,because
ngokonakala,sinful
ngokoqobo,literally
ngokulangazela,descitive
ngokumelene,against
ngokuphelele,completely
ngokuqhubekayo,continuously
ngokushesha,quickly
ngokuvamile,generally
ngokuzumayo,suddenly
ngokwakho,yourself
ngokwanele,enough
ngokwengqondo,mentally
ngokwengxenye,partially
ngokwezifiso,customize
ngomumo,ready
ngqo,exactly
nikela,devote
nini,when
njalo,ever
nje,now
nolwazi,and information
noma,or
noma kuphi,anywhere
noma ubani,anybody
noma yikuphi,any
noma yini,anything else
nothando,and love
nqaba,object
nqabela,bar
nqoba,conquer
nqunu,naked
nsuku zonke,every day
ntambama,noon
ntambo,thread
ntanta,float
nxazonke,around
nzima,hard
obala,openly
obucayi,delicate
obukhulu,thick
ocebile,rich
odla imifino,who eats vegetables
odumile,famous
ohlangothini,side
okokugcina,last
okokuhlaziya,obscene
okokwenziwa,default
okubalulekile,Important
okubi,grim
okubi kakhulu,even worse
okubuhlungu,tragic
okufanayo,same
okufinyelelekayo,accessible
okugxekayo,critical
okulindile,pending
okumnandi,delicious
okunamathiselwe,attachment
okungajwayelekile,unusual
okungalungile,wrong
okungenzeka,probability
okunye,else
okuphakathi,medium
okuphambene,contrary
okuqinile,steady
okusanhlamvu,grain
okusemthethweni,formal
okusha,new
okuthile,something
okuxubile,mixture
okuyimfihlo,confidential
okuzenzakalelayo,default
okwakamuva,latest
okwakho,yours
okwami,For my
okwangempela,real
okwaphezulu,The highest
okwengeziwe,additional
okwenzekayo,occasion
okwesikhashana,for a while
Olandelayo,Next
olungaphambili lwesonto,front of the week
omdala,elder
omile,dry
oncike,lean
ongashadile,singular
ongathembekile,unfaithful
ongcolile,unclean
ongcwele,Holy
ophingayo,adulterous
oqalayo,beginner
osemusha,teen
othintana naye,contact
owesifazane,woman
owinile,winners
owomdabu,indigenous
penguin,penguin
phakamisa,raise
phakathi,inside
phambili,forward
phansi,down
phaphama,awake
phatha,manage
phawula,brand
phazamisa,interrupt
phelezela,accompany
phenduka,rotate
phendula,answer
pheqa,fold
phezulu,up
phinda,repeat
phoqa,dictate
phuma,exit
phumula,retire
phuza,drink
positive,positive
Psychology,Psychology
qala,start
qaphela,watch
qasha,lease
qeda,complete
qhaqhazela,vibrate
qhathanisa,match
qhubeka,continue
qinisekisa,ensure
qoqa,collect
qotho,righteous
qwashisa,alert
rhona,rhona
sage,sage
sebenza,operate
sebenzisa,spend
sekwephuzile,late
sesha,search
shayela,brush
shintsha,change
sina,dance
siyakuhalalisela,Congratulations
siza,help
sobala,simplify
social,Social
sondela,advance
sondeza,libel
sungula,establish
susa,move
thamela,attend
thatha,take
thenga,purchase
thengisa,demonstrate
thola,find
thumba,kidnap
thumela,send
thuthukisa,improve
thwala,abduct
tshela,inform
u-anyanini,Aneni
ubhekilanga,sunflower
ubisi,milk
ubizo,vocation
ububanzi,extent
ubuchopho,brain
ubucwebe,jewelery
ubude,length
ubude besikhathi,time frame
ubugebengu,crime
ubuhlungu,pain
ubukhazikhazi,illumination
ubukhosi,supremacy
ubulungisa,Justice
ubumfihlo,Privacy is privacy
ubumnandi,sweetness
ubumpofu,poverty
ubuncane,minimum
ubunikazi,ownership
ubuningi,abundance
ubuntatheli,journalism
ubuntombi,virst
ubusha,youth
ubusika,winter
ubuso,feature
ubuthi,poisoning
ucwaningo,research
udaba,issue
udlame,violence
udokotela wamazinyo,dentist
udonga,ravine
udumo,honor
ufudu,tortoise
ufulawa,flour
ugaliki,garip
ugqozi,enthusiasm
uguquko,change
uhambo,journey
uhlanga,group
uhlelo,program
uhlelo lolimi,grammar
uhulumeni,government
ujabulele,enjoy
uju,honey
uketshezi,liquid
ukhohliwe,forgotten
ukholo,faith
ukhozi,eagle
ukhukhamba,cucumbers
ukhukhunathi,coconut
ukhulelwe,conceived
ukhuni,wood
ukolweni,wheat
ukongiwa kwemvelo,conservation
ukopha,bleeding
ukubaluleka,importance
ukubamba iqhaza,participation
ukubambezela,delay
ukubambisana,cooperation
ukubekezela,patience
ukubhala,writing
ukubhaliswa,registration
ukubingelela,salute
ukubola,decay
ukubonakala,appearance
ukubuyekeza,revision
ukuchayeka,exposure
ukuchelela,irrigation
ukucindezeleka,depression
ukucunula,irritation
ukudalula,disclosure
ukudideka,confusion
ukudla,food
ukudlulisa,appeal
ukudweba,scratch
ukufa,sickness
ukufika,arrival
ukufuna,want
ukufunda,reading
ukugebenga,rash
ukugeza,wash
ukugoma,immune
ukugunyazwa,Authorization
ukuguqulwa,variation
ukuhamba,walk
ukuhambisana,compliance
ukuheha,attract
ukuhlalisa,maintenance
ukuhlanganisa,unification
ukuhlanza,cleaning
ukuhlanzwa,cleansing
ukuhlasela,raid
ukuhleleka,order
ukuhlola,examination
ukuhlolwa,examination
ukuhlonza,identification
ukuhlukahluka,vary
ukuhlukaniswa,classification
ukuhoxa,withdrawal
ukuhumusha,translation
ukuhwamuka,evasion
ukukhangwa,applied
ukukhathazeka,anxiety
ukukhiqiza,generation
ukukhiqiza kabusha,re-producing
ukukhonza,worship
ukukhula,increase
ukukhushulwa,promotion
ukukhwabanisa,fraud
ukulandisa,narration
ukulangazelela,longing
ukulawula,control
ukulethwa,delivery
ukulima,farming
ukulinganisa,measurement
ukulinganisela,moderation
ukulondolozwa,preservation
ukululama,recovery
ukulungisa,repair
ukulungiselela,preparation
ukulungisiswa,justification
ukumangala,amazement
ukumuncwa,concentration
ukunaka,concern
ukunakekela,care
ukunambitha,taste
ukunambitheka,taste
ukuncintisana,competition
ukunemba,accuracy
ukunethezeka,luxury
ukungabi namathuba,Lack of opportunities
ukunganakwa,apathy
ukungavumeli,disapproval
ukungcola,dirt
ukungena,entry
ukungezwani,difference
ukungqubuzana,collision
ukunqoba,victory
ukunqotshwa,defeat
ukuntula,want
ukuphatha,touch
ukuphela,expiration
ukuphelelwa amanzi emzimbeni,losing water
ukuphelelwa yisikhathi,expiry
ukuphelezela,accompanying
ukuphepha,safety
ukuphikisana,controversy
ukuphila,life
ukuqaphela,awareness
ukuqedwa,termination
ukuqephuza,arrogance
ukuqeqeshwa,training
ukuqokwa,appointment
ukuqwashisa,awareness
ukusebenza,operation
ukusebenza kahle,efficiency
ukusekela,support
ukushintshana,exchange
ukushintshashintsha,fluctuate
ukushisa,heat
ukusiqhenya,proud
ukusungulwa,establishment
ukuthekelisa,export
ukuthenga,buy
ukutholakala,availability
ukuthula,peace
ukutuswa,informal
ukuvakasha,tourism
ukuvula,opening
ukuvuma,consent
ukuvutha,blink
ukuvuvukala,swelling
ukuxhumana,communication
ukuya esikhathini,menstruation
ukuzala,breed
ukuzalwa,birth
ukuzethemba,confidence
ukuzibulala,suicide
ukuzihlangula,reverence
ukuzijabulisa,entertainment
ukuzinikela,devotion
ukuziphatha,behavior
ukuziphendukela kwemvelo,evolution
ukuziphindiselela,retribution
ukuziqhenya,pride
ukuzisola,repentance
ukuzivalela,shut
ukuzivikela,Protection
ukuzivocavoca,Exercise
ukuzwa,sense
ukwabelana,communion
ukwahlukanisa,divorce
ukwakha,construction
ukwakhiwa,construction
ukwanda,increase
ukwaneliseka,satisfaction
ukwazisa,notification
ukwehluleka,failure
ukwelashwa,treatment
ukwengeza,confirm
ukwenyanya,disgust
ukwenza,performance
ukwenziwa,execution
ukwesaba,fear
ukwethemba,confidence
ulaka,wrath
ulimi,language
ulwandle,ocean
ulwazi,knowledge
umakhi,builder
umakoti,bride
umama,mother
umanyolo,fertilizer
umatasatasa,you are busy
umbala,color
umbhali,author
umbhalo,writing
umbhangqwana,couple
umbono,opinion
umbukiso,exhibition
umbuso,government
umcebo,affluence
umcibisholo,arrow
umcimbi,event
umculi,musician
umculo,music
umdala,elder
umdansi,dancer
umdanso,dance
umdlavuza,cancer
umfakisicelo,applicant
umfaniswano,uniform
umfuduki,sentiment
umfundi,student
umgodi,cavity
umgoqo,bar
umhlaba,territory
umhlalaphansi,retirement
umhlanganyeli,participant
umhlatshelo,victim
umhlobiso,decoration
umholi,leader
umhubhe,avenue
umhwamuko,vapor
umiyane,mosquito
umkhankaso,campaign
umkhathi,space
umkhawulo,limit
umkhonyovu,scam
umkhosi,festival
umkhuba,practice
umlando,history
umlawuli,manager
umlenze,leg
umlomo,mouth
ummbila,corn
ummeli,lawyer
ummese,knife
umnakekeli,guardian
umndeni,family
umngane,friend
umnikazi,banker
umnikelo,offer
umnotho,wealth
umnyango,department
umoba,cane
umona,envy
umonakalo,harm
umoya,spirit
umphakathi,community
umphathi,commander
umpheme,screen
umphetho,hem
umphimbo,throat
Umphumela,Result
umsebenzi,work
umshado,wedding
umshana,nephew
umshwalense,insurance
umsindo,noise
umsipha,muscle
umsoco,nutrient
umthambeka,slope
umthambo,fiber
umthandazo,prayer
umthelela,import
umthengi,buyer
umthethosisekelo,constitution
umthwali,carrier
umucu,fiber
umugqa,line
umumo,state
umuntu,person
umuntu ngamunye,each
umusa,kindness
umusho,sentence
umusi,steam
umuthi,wood
umxolisi,porlo
umxoxi,interview
umyalezo,message
umyalo,command
umyeni,husband
umzabalazo,struggle
umzali,parent
umzamo,effort
undlunkulu,sparrow
unkosikazi,wife
unkulunkulu,God
unogada,watchman
unogwaja,rabbit
unolwazi,informed
uphenyo,investigation
upholi,parrot
uprofesa,professor
uqobo,himself
usathane,devil
usawoti,salt
usayizi,size
usizo,help
usomabhizinisi,businessman
usuku,day
usuku lokuzalwa,birthday
uthando,love
uthisha,teacher
uthuli,dust
utshani,grass
uvalo,fright
uvemvane,butterfly
uvolo,wool
uxolo,peace
uyazi,you know
uyaziqhenya,she is proud
uzamcolo,flood
uzwelo,feeling
vacuum,vacuum
vakashela,visit
vala,close
vase,vase
Veza,Produce
vimbela,prevent
vuka,arise
vuma,confess
vumela,allow
vumelanisa,match
vutha,glow
wahamba,he went
wamukelekile,you are welcome
wazalwa,he was born
wazama,he tried
wena,you
womuntu,man
woza,come
wusizo,useful
xhuma,join
xoxisana,communicate
xwayisa,alert
yazisa,inform
yebo,yes
yedwa,solitary
yeka,cease
yemvelo,natural
yena,he
yenza,conduct
yigugu,precious
yima,stop
yizwa,perceive
yonke indawo,all over
zama,try
zasendle,awn
zenzeka,occur
zibabaza,they admire
zibuze,ask yourself
zikhona,are there
ziphathe kabi,behave
zonke,general
zungeza,circle